data,consumo_por_residencia
2021-09-30,120.65546029206651
2021-10-31,131.28245253998602
2021-11-30,132.16350016847673
2021-12-31,143.22167683163534
2022-01-31,136.03138310903356
2022-02-28,131.49072016866833
2022-03-31,143.92442689968755
2022-04-30,131.40046564739524
2022-05-31,132.57809144119923
2022-06-30,120.21639207693711
2022-07-31,115.8403637722899
2022-08-31,114.27784481775008
2022-09-30,119.415129032432
2022-10-31,122.16514994422504
2022-11-30,136.45629635486452
2022-12-31,133.69521353223783
2023-01-31,134.82638152377447
2023-02-28,135.3479918748441
2023-03-31,144.9633079390313
2023-04-30,137.05194101301882
2023-05-31,142.48781981681006
2023-06-30,122.90574313263143
2023-07-31,115.28028481967038
2023-08-31,123.3432566705982
2023-09-30,127.76659626728812
2023-10-31,126.47436594589459
2023-11-30,139.34153933912134
2023-12-31,141.0395072196533
